species,acid,cost_type,cost,usage
cerevisiae,ala,amm-rel,0.4588,0.0549554106489761
cerevisiae,ala,glu-rel,0.229400333,0.0549554106489761
cerevisiae,ala,amm-abs,1.0,0.0549554106489761
cerevisiae,trp,akashi,74.3,0.0103917793045742
cerevisiae,trp,sul-rel,0.0,0.0103917793045742
cerevisiae,trp,weight,204.2,0.0103917793045742
cerevisiae,trp,glu-abs,2.392936667,0.0103917793045742
cerevisiae,trp,sul-abs,0.0,0.0103917793045742
cerevisiae,trp,amm-rel,0.0568,0.0103917793045742
cerevisiae,trp,glu-rel,0.067959333,0.0103917793045742
cerevisiae,trp,amm-abs,2.0,0.0103917793045742
cerevisiae,met,akashi,34.3,0.0208051631399271
cerevisiae,met,sul-rel,0.0507,0.0208051631399271
cerevisiae,met,weight,149.2,0.0208051631399271
cerevisiae,met,glu-abs,1.25002,0.0208051631399271
cerevisiae,met,sul-abs,1.0,0.0208051631399271
cerevisiae,met,amm-rel,0.050702667,0.0208051631399271
cerevisiae,met,glu-rel,0.063376,0.0208051631399271
cerevisiae,met,amm-abs,1.0,0.0208051631399271
cerevisiae,tyr,akashi,50.0,0.0337833134148704
cerevisiae,tyr,sul-rel,0.0,0.0337833134148704
cerevisiae,tyr,weight,181.2,0.0337833134148704
cerevisiae,tyr,glu-abs,1.773826667,0.0337833134148704
cerevisiae,tyr,sul-abs,0.0,0.0337833134148704
cerevisiae,tyr,amm-rel,0.102003333,0.0337833134148704
cerevisiae,tyr,glu-rel,0.180930333,0.0337833134148704
cerevisiae,tyr,amm-abs,1.0,0.0337833134148704
cerevisiae,asn,akashi,14.7,0.0616305248014869
cerevisiae,asn,sul-rel,0.0,0.0616305248014869
cerevisiae,asn,weight,132.1,0.0616305248014869
cerevisiae,asn,glu-abs,0.785703333,0.0616305248014869
cerevisiae,asn,sul-abs,0.0,0.0616305248014869
cerevisiae,asn,amm-rel,0.203331333,0.0616305248014869
cerevisiae,asn,glu-rel,0.079906333,0.0616305248014869
cerevisiae,asn,amm-abs,2.0,0.0616305248014869
cerevisiae,cys,akashi,24.7,0.0125758944875868
cerevisiae,cys,sul-rel,0.006599967,0.0125758944875868
cerevisiae,cys,weight,121.2,0.0125758944875868
cerevisiae,cys,glu-abs,0.749223333,0.0125758944875868
cerevisiae,cys,sul-abs,1.0,0.0125758944875868
cerevisiae,cys,amm-rel,0.0066015,0.0125758944875868
