gene,environment,solution,flux,essential
YDR158W,glc,optimal,0.01521,false
YDR321W,glc,optimal,0.0,false
YHR019C,glc,optimal,0.0,true
YCR024C,glc,optimal,0.0,false
YER052C,glc,optimal,0.01521,false
YLL018C,glc,optimal,0.0,true
YPL104W,glc,optimal,0.0,false
YDR530C,glc,optimal,0.0,false
YER055C,glc,optimal,0.01989,false
YOL064C,glc,optimal,0.01719,false
YGR286C,glc,optimal,0.0,false
YNL280C,glc,optimal,0.00066,false
YMR015C,glc,optimal,0.0,false
YGL012W,glc,optimal,0.00021,false
YLR056W,glc,optimal,0.0,false
YMR202W,glc,optimal,0.0,false
YGR088W,glc,optimal,0.0,false
YDR256C,glc,optimal,0.0,false
YCL004W,glc,optimal,0.0,true
YGR202C,glc,optimal,0.0,false
YGL077C,glc,optimal,0.0,false
YLR133W,glc,optimal,0.0,false
YPR060C,glc,optimal,0.07077,false
YGL148W,glc,optimal,0.07929,false
YDL142C,glc,optimal,0.0,false
YDR044W,glc,optimal,0.0,true
YOR100C,glc,optimal,0.0,false
YBR132C,glc,optimal,0.0,false
YAR035W,glc,optimal,0.0,false
YPR062W,glc,optimal,0.0,false
YCR005C,glc,optimal,0.0,false
YGR012W,glc,optimal,0.00198,false
YAL012W,glc,optimal,1000.0,false
YFR055W,glc,optimal,0.0,false
YGL184C,glc,optimal,0.0,false
YNL247W,glc,optimal,0.0,true
YGR155W,glc,optimal,0.0,false
YNR057C,glc,optimal,0.0,false
YLR420W,glc,optimal,0.0,false
YLR172C,glc,optimal,0.0,false
YOL096C,glc,optimal,0.0,false
YDL100C,glc,optimal,0.0,false
YMR013C,glc,optimal,0.0,true
YPR183W,glc,optimal,0.24237,true
YNR043W,glc,optimal,0.00396,true
YHR063C,glc,optimal,0.0,false
YJR057W,glc,optimal,0.0,true
YBR252W,glc,optimal,0.0,true
YHR068W,glc,optimal,0.0,true
YDL174C,glc,optimal,0.0,false
YDR147W,glc,optimal,0.0,false
YIL134W,glc,optimal,-1.72151e-12,false
YLR372W,glc,optimal,0.0,false
YLR377C,glc,optimal,0.0,false
YJL155C,glc,optimal,0.0,false
YOR176W,glc,optimal,0.0,true
YBL013W,glc,optimal,0.0,false
YDL045C,glc,optimal,-1.72151e-12,true
YEL047C,glc,optimal,29.2917,false
YJR051W,glc,optimal,0.0,false
YER183C,glc,optimal,0.0,false
YDL022W,glc,optimal,0.00741,false
YOL059W,glc,optimal,0.0,false
YIL155C,glc,optimal,0.0,false
YNL241C,glc,optimal,0.0,false
YBR020W,glc,optimal,0.0,false
YDR408C,glc,optimal,0.0294,false
YEL011W,glc,optimal,0.0,false
YLR058C,glc,optimal,-995.369,false
YBR263W,glc,optimal,997.801,false
YPR160W,glc,optimal,0.0,false
YPR035W,glc,optimal,0.24525,true
YOR168W,glc,optimal,0.0,true
YLR195C,glc,optimal,0.0,true
YDR300C,glc,optimal,0.04941,false
YJL101C,glc,optimal,0.0,false
YMR250W,glc,optimal,0.0,false
YDL215C,glc,optimal,0.612462,false
YMR300C,glc,optimal,0.0294,false
YDL171C,glc,optimal,0.0,false
YGL245W,glc,optimal,0.0,true
YOL033W,glc,optimal,0.0,false
YLL043W,glc,optimal,0.0,false
YHL032C,glc,optimal,0.0,false
YDR272W,glc,optimal,0.0,false
YOR040W,glc,optimal,0.0,false
YMR217W,glc,optimal,0.01452,false
YPL091W,glc,optimal,0.0,false
YOL049W,glc,optimal,0.0,false
YLR299W,glc,optimal,0.0,false
YBL033C,glc,optimal,0.0,false
YGR267C,glc,optimal,0.0,true
YDR234W,glc,optimal,0.08586,false
YIL094C,glc,optimal,0.08586,false
YFR025C,glc,optimal,0.01989,false
YDL205C,glc,optimal,0.0,true
YNL277W,glc,optimal,0.01521,false
YHR025W,glc,optimal,0.0,false
YIL116W,glc,optimal,0.01989,false
YLR174W,glc,optimal,0.0,false
YDL066W,glc,optimal,0.27432,false
YNL009W,glc,optimal,0.0,false
YER065C,glc,optimal,0.0,false
YBR248C,glc,optimal,0.01989,false
YOR202W,glc,optimal,0.01989,false
YBL076C,glc,optimal,0.0,true
YPL040C,glc,optimal,0.0,false
YDR380W,glc,optimal,0.0,false
YPL117C,glc,optimal,0.00132,true
YCL018W,glc,optimal,0.08892,false
YBL098W,glc,optimal,0.0,false
YPL160W,glc,optimal,0.0,true
YLR382C,glc,optimal,0.0,false
YML004C,glc,optimal,0.0,false
YHR007C,glc,optimal,0.00066,true
YHR072W,glc,optimal,0.00066,true
YDR037W,glc,optimal,0.0,true
YNL073W,glc,optimal,0.0,false
YML054C,glc,optimal,0.0,false
YDL055C,glc,optimal,0.24237,true
YER003C,glc,optimal,-0.24237,true
YPR006C,glc,optimal,0.0,false
YOL126C,glc,optimal,2.8205,false
YKL085W,glc,optimal,-2.70812,false
YDL078C,glc,optimal,0.0,false
YJR130C,glc,optimal,0.0,false
YGR264C,glc,optimal,0.0,true
